#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/															
#dcterms:license: CC-0															
#version: 2.0.0															
#creator_id:															
#  - https://orcid.org/0009-0004-7916-9833															
#creator_name:															
#  - Camila Babo															
#curie_map:															
# - dnaextension: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_2024-07-11.xml#															
#  - dnaextensionversion: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_															
#  - dwc: http://rs.tdwg.org/dwc/terms/															
# - dwcversion:http://rs.tdwg.org/dwc/doc/list/															
#  - MIXS: https://w3id.org/mixs/															
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/blob/mixs6.0.0/model/schema/mixs.yaml															
# - ggbn: https://www.ggbn.org/ggbn_portal/site/wf?p=ggbn:															
# - ggbnversion: https://www.ggbn.org/ggbn_portal/site/wf?p=															
#  - orcid: https://orcid.org/															
#  - skos: http://www.w3.org/2004/02/skos/core															
#  - semapv: https://w3id.org/semapv/vocab/															
subject_id	subject_label	subject_category	predicate_id	object_id	object_label	object_category	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	mapping_justification	comment
dnaextension:lib_size	lib_size	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000039	library size	MIxS core	orcid:0009-0004-7916-9833	dnaextension:lib_size	dnaextensionversion:2024-07-11.xml#lib_size	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:lib_reads_seqd	lib_reads_seqd	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000040	library reads sequenced	MIxS core	orcid:0009-0004-7916-9833	dnaextension:lib_reads_seqd	dnaextensionversion:2024-07-11.xml#lib_reads_seqd	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:lib_layout	lib_layout	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000041	library layout	MIxS core	orcid:0009-0004-7916-9833	dnaextension:lib_layout	dnaextensionversion:2024-07-11.xml#lib_layout	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:lib_vector	lib_vector	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000042	library vector	MIxS core	orcid:0009-0004-7916-9833	dnaextension:lib_vector	dnaextensionversion:2024-07-11.xml#lib_vector	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:lib_screen	lib_screen	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000043	library screening strategy	MIxS core	orcid:0009-0004-7916-9833	dnaextension:lib_screen	dnaextensionversion:2024-07-11.xml#lib_screen	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:target_gene	target_gene	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000044	target gene	MIxS core	orcid:0009-0004-7916-9833	dnaextension:target_gene	dnaextensionversion:2024-07-11.xml#target_gene	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:target_subfragment	target_subfragment	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000045	target subfragment	MIxS core	orcid:0009-0004-7916-9833	dnaextension:target_subfragment	dnaextensionversion:2024-07-11.xml#target_subfragment	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:pcr_primers	pcr_primers	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000046	pcr primers	MIxS core	orcid:0009-0004-7916-9833	dnaextension:pcr_primers	dnaextensionversion:2024-07-11.xml#pcr_primers	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:mid	mid	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000047	multiplex identifiers	MIxS core	orcid:0009-0004-7916-9833	dnaextension:mid	dnaextensionversion:2024-07-11.xml#mid	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:adapters	adapters	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000048	adapters	MIxS core	orcid:0009-0004-7916-9833	dnaextension:adapters	dnaextensionversion:2024-07-11.xml#adapters	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:pcr_cond	pcr_cond	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000049	pcr conditions	MIxS core	orcid:0009-0004-7916-9833	dnaextension:pcr_cond	dnaextensionversion:2024-07-11.xml#pcr_cond	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:seq_meth	seq_meth	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000050	sequencing method	MIxS core	orcid:0009-0004-7916-9833	dnaextension:seq_meth	dnaextensionversion:2024-07-11.xml#seq_meth	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:seq_quality_check	seq_quality_check	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000051	sequence quality check	MIxS core	orcid:0009-0004-7916-9833	dnaextension:seq_quality_check	dnaextensionversion:2024-07-11.xml#seq_quality_check	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:chimera_check	chimera_check	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000052	chimera check software	MIxS core	orcid:0009-0004-7916-9833	dnaextension:chimera_check	dnaextensionversion:2024-07-11.xml#chimera_check	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:tax_ident	tax_ident	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000053	taxonomic identity marker	MIxS core	orcid:0009-0004-7916-9833	dnaextension:tax_ident	dnaextensionversion:2024-07-11.xml#tax_ident	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:assembly_qual	assembly_qual	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000056	assembly quality	MIxS core	orcid:0009-0004-7916-9833	dnaextension:assembly_qual	dnaextensionversion:2024-07-11.xml#assembly_qual	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:assembly_name	assembly_name	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000057	assembly name	MIxS core	orcid:0009-0004-7916-9833	dnaextension:assembly_name	dnaextensionversion:2024-07-11.xml#assembly_name	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:assembly_software	assembly_software	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000058	assembly software	MIxS core	orcid:0009-0004-7916-9833	dnaextension:assembly_software	dnaextensionversion:2024-07-11.xml#assembly_software	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:annot	annot	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000059	annotation	MIxS core	orcid:0009-0004-7916-9833	dnaextension:annot	dnaextensionversion:2024-07-11.xml#annot	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:number_contig	number_contig	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000060	number of contigs	MIxS core	orcid:0009-0004-7916-9833	dnaextension:number_contig	dnaextensionversion:2024-07-11.xml#number_contig	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:feat_pred	feat_pred	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000061	feature prediction	MIxS core	orcid:0009-0004-7916-9833	dnaextension:feat_pred	dnaextensionversion:2024-07-11.xml#feat_pred	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:ref_db	ref_db	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000062	reference database	MIxS core	orcid:0009-0004-7916-9833	dnaextension:ref_db	dnaextensionversion:2024-07-11.xml#ref_db	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:sim_search_meth	sim_search_meth	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000063	similarity search method	MIxS core	orcid:0009-0004-7916-9833	dnaextension:sim_search_meth	dnaextensionversion:2024-07-11.xml#sim_search_meth	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:tax_class	tax_class	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000064	taxonomic classification	MIxS core	orcid:0009-0004-7916-9833	dnaextension:tax_class	dnaextensionversion:2024-07-11.xml#tax_class	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:_16s_recover	_16s_recover	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000065	16S recovered	MIxS core	orcid:0009-0004-7916-9833	dnaextension:_16s_recover	dnaextensionversion:2024-07-11.xml#_16s_recover	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
dnaextension:_16s_recover_software	_16s_recover_software	http://rs.gbif.org/terms/1.0/DNADerivedData	skos:exactMatch	MIXS:0000066	16S recovery software	MIxS core	orcid:0009-0004-7916-9833	dnaextension:_16s_recover_software	dnaextensionversion:2024-07-11.xml#_16s_recover_software	MIXSversion:mixs.yaml	6.2.0	2025-04-29	1	semapv:ManualMappingCuration	
