#This mapping was created following and expanding upon the SSSOM guidance: https://mapping-commons.github.io/sssom/spec/																
#dcterms:license: CC-0																
#version: 2.0.0																
#creator_id:																
#  - https://orcid.org/0009-0004-7916-9833																
#creator_name:																
#  - Camila Babo																
#curie_map:																
# - dnaextension: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_2024-07-11.xml#																
#  - dnaextensionversion: https://rs.gbif.org/extension/gbif/1.0/dna_derived_data_																
#  - dwc: http://rs.tdwg.org/dwc/terms/																
# - dwcversion:http://rs.tdwg.org/dwc/doc/list/																
#  - MIXS: https://w3id.org/mixs/																
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs/blob/mixs6.0.0/model/schema/mixs.yaml																
# - ggbn: https://www.ggbn.org/ggbn_portal/site/wf?p=ggbn:																
# - ggbnversion: https://www.ggbn.org/ggbn_portal/site/wf?p=																
#  - orcid: https://orcid.org/																
#  - skos: http://www.w3.org/2004/02/skos/core																
#extension_definitions:																
#  - slot_name: ex_syntax_predicate_id																
#  - property: http://sssom.invalid/ex_syntax_predicate_id																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
#  - slot_name: ext_syntax_comment																
#  - property: http://sssom.invalid/ext_syntax_comment																
#  - type_hint: http://www.w3.org/2001/XMLSchema#string																
subject_id	subject_label	subject_category	ex_syntax_predicate_id	object_id	object_label	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	confidence	mapping_justification	ex_syntax_comment
MIXS:0000040	library reads sequenced	dnaextension:lib_reads_seqd	skos:exactMatch	MIXS:0000040	lib_reads_seqd	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:lib_reads_seqd	dnaextensionversion:2024-07-11.xml#lib_reads_seqd	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	MIxS expects a integer values.
MIXS:0000041	library layout	dnaextension:lib_layout	skos:exactMatch	MIXS:0000041	lib_layout	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:lib_layout	dnaextensionversion:2024-07-11.xml#lib_layout	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000042	library vector	dnaextension:lib_vector	skos:exactMatch	MIXS:0000042	lib_vector	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:lib_vector	dnaextensionversion:2024-07-11.xml#lib_vector	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000043	library screening strategy	dnaextension:lib_screen	skos:exactMatch	MIXS:0000043	lib_screen	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:lib_screen	dnaextensionversion:2024-07-11.xml#lib_screen	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	Both accepts multiple values, comma-separated.
MIXS:0000044	target gene	dnaextension:target_gene	skos:exactMatch	MIXS:0000044	target_gene	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:target_gene	dnaextensionversion:2024-07-11.xml#target_gene	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	Both accepts multiple values, comma-separated.
MIXS:0000045	target subfragment	dnaextension:target_subfragment	skos:exactMatch	MIXS:0000045	target_subfragment	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:target_subfragment	dnaextensionversion:2024-07-11.xml#target_subfragment	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	Both accepts multiple values, comma-separated.
MIXS:0000046	pcr primers	dnaextension:pcr_primers	skos:exactMatch	MIXS:0000046	pcr_primers	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:pcr_primers	dnaextensionversion:2024-07-11.xml#pcr_primers	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000047	multiplex identifiers	dnaextension:mid	skos:exactMatch	MIXS:0000047	mid	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:mid	dnaextensionversion:2024-07-11.xml#mid	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000048	adapters	dnaextension:adapters	skos:exactMatch	MIXS:0000048	adapters	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:adapters	dnaextensionversion:2024-07-11.xml#adapters	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	
MIXS:0000049	pcr conditions	dnaextension:pcr_cond	skos:exactMatch	MIXS:0000049	pcr_cond	MIxS core	HumanCurated	orcid:0009-0004-7916-9833	dnaextension:pcr_cond	dnaextensionversion:2024-07-11.xml#pcr_cond	MIXSversion:mixs.yaml	6.2.0	2025-07-24	1	ManualMappingCuration	Both expect field to be filled as initial denaturation:degrees_minutes;annealing:degrees_minutes;elongation:degrees_minutes;final elongation:degrees_minutes;total cycles.
